AD2_25	Settori Ordinari - Affidamento di lavori o servizi consistenti nella ripetizione di lavori o servizi analoghi (solo per procedure il cui bando è stato pubblicato entro il 31/12/2023 e che prevedono l'opzione della ripetizione di lavori/ servizi analoghi). Articolo 76 comma 6 decreto legislativo 36/2023.
AD2_26	Settori Speciali - Affidamento di lavori o servizi consistenti nella ripetizione di lavori o servizi analoghi (solo per procedure il cui bando è stato pubblicato entro il 31/12/2023 e che prevedono l'opzione della ripetizione di lavori/ servizi analoghi). Articolo 158 comma 2 lettera f) decreto legislativo 36/2023.
AD2_27	Affidamento diretto sopra la soglia minima e sotto la soglia comunitaria, difesa. Articolo 31 decreto legislativo 208/2011; Articolo 50 comma 1 lettere c) d) e) decreto legislativo 36/2023; Articolo 50 comma 9 decreto legislativo 36/2023.
AD2_28	Affidamento diretto. Articolo 182 comma 7 decreto legislativo 36/2023; Articolo 187 decreto legislativo 36/2023.
AD3	Affidamento diretto >= 5k € e entro i valori ammessi. Articolo 50 comma 9 decreto legislativo 36/2023.
AD4	Appalti e concessioni - Acquisizione del CIG figlio per adesione ad accordo quadro/convenzione senza successivo confronto competitivo (solo per appalti o concessioni affidate con accordi quadro/convenzioni il cui bando è stato pubblicato entro il 31/12/2023). Articolo 59 comma 4 lettera a) decreto legislativo 36/2023;Articolo 154 decreto legislativo 36/2023 Articolo 127 decreto legislativo 36/2023, Articolo 128 comma 6 decreto legislativo 36/2023.
AD5	Affidamento diretto di appalti di importo inferiore a 5.000 euro. Articolo 49 c. 6; Articolo 50 c.1 lett. a) e b) decreto legislativo 36/2023.
ANN	Annullamento affidamento.
AOC	Procedura di affidamento riservata agli Organi Costituzionali. Articolo 224 comma 7 decreto legislativo 36/2023.
AVR	Introduzione comunicazione anagrafica per avvio verifiche requisiti.
C7_3	Chiusura elenco fornitori.
CBI	Scheda di conclusione relativa a procedure negoziate per l'acquisizione di beni e servizi infungibili a imprese estere o acquisizione di beni e servizi in modalità e-commerce.
CL1	Collaudo. Articolo 116 decreto legislativo 36/2023 e allegato II.14.
CM1	Scheda di comunicazione modifica dati della procedura per appalti sopra o pari a 5K euro.
CM2	Scheda di comunicazione modifica dati della procedura per appalti sotto i 5K euro.
CM3	Comunicazione modifica dati della procedura negoziata senza bando.
CO1	Conclusione.
CO2	Conclusione.
COC	Scheda di conclusione per gli Organi Costituzionali.
CS1	Conclusione subappalto. Articolo 119 decreto legislativo 36/2023.
CSDA1	Conclusione Sistema Dinamico di Acquisizione Sopra soglia.
CSDA2	Conclusione Sistema Dinamico di Acquisizione Sotto soglia.
ES1	Esito Richiesta subappalto; Autorizzazione/diniego subappalto. Articolo119 decreto legislativo 36/2023.
I1	Avvio dell'esecuzione.
ID	Scheda per l'integrazione dei dati non essenziali ai fini della pubblicità legale e del flusso della procedura.
IR1	Istanza di recesso.
ISDA1	Istituzione Sistema Dinamico di Acquisizione Sopra soglia. Articolo 32 comma 2, 6 decreto legislativo 36/2023.
ISDA2	Istituzione Sistema Dinamico di Acquisizione Sotto soglia. Articolo 32 comma 2, 6 decreto legislativo 36/2023.
M1	Modifica contrattuale, direttiva generale e direttiva settoriale. Articolo 72, paragrafo 1, della direttiva 2014/24/UE; Articolo 89, paragrafo 1, della direttiva 2014/25/UE; Articolo 141 comma 3 lettera i) decreto legislativo 36/2023; Articolo 120 comma 14 e comma 15 decreto legislativo 36/2023; Articolo 5 comma 11 e comma 12 Allegato II.14.
M1_40	Modifica contrattuale, direttiva concessioni. Articolo 43, paragrafo 1, della direttiva 2014/23/UE; Articolo 189 comma 5 decreto legislativo 36/2023.
M2	Modifica contrattuale sottosoglia, generale e settoriale. Articolo 72, paragrafo 1, della direttiva 2014/24/UE; Articolo 141 comma 3 lettera i) decreto o legislativo 36/2023; Articolo 120 comma 14 e comma 15 decreto legislativo 36/2023; Articolo 5 comma 11 e comma 12 Allegato II.14.
M2_40	Modifica contrattuale sottosoglia, concessioni. Articolo 187 comma 2 decreto legislativo 36/2023; Articolo 189 comma 5 decreto legislativo 36/2023.
NAG	Mancata aggiudicazione di procedura sotto soglia europea.
P1_10	Avviso di preinformazione utilizzato come avviso di indizione di gara — direttiva generale, regime ordinario. Articolo 48, paragrafo 2, della direttiva 2014/24/UE; Articolo 81 comma 2 decreto legislativo 36/2023.
P1_11	Avviso periodico indicativo utilizzato come avviso di indizione di gara — direttiva settoriale, regime ordinario. Articolo 67, paragrafo 2, della direttiva 2014/25/UE; Articolo 155 comma 3 decreto legislativo 36/2023; Articolo 161 comma 2 decreto legislativo 36/2023; Articolo 164 decreto legislativo 36/2023.
P1_12	Avviso di preinformazione utilizzato come avviso di indizione di gara — direttiva generale, regime alleggerito. Articolo 75, paragrafo 1, lettera b), della direttiva 2014/24/UE ; Articolo 127 comma 1 lettera b) decreto legislativo 36/2023.
P1_13	Bando periodico indicativo utilizzato come avviso di indizione di gara — direttiva settoriale, regime alleggerito. Articolo 92, paragrafo 1, lettera b), della direttiva 2014/25/UE; Articolo 173 decreto legislativo 36/2023; Articolo 127 comma 4 deceto legislativo 36/2023.
P1_14	Avviso di preinformazione utilizzato come avviso di indizione di gara — direttiva sulle concessioni, regime alleggerito. Articolo 31, paragrafo 3, della direttiva 2014/23/UE ; Articolo 182.comma 6 decreto legislativo 36/2023.
P1_15_1	Avviso sull'esistenza di un sistema di qualificazione. Articolo 68 della direttiva 2014/25/UE; Articolo 92, paragrafo 1, lettera c), della direttiva 2014/25/UE; Articolo 162 comma 1 decreto legislativo 36/2023; Articolo 164 decreto legislativo 36/2023.
P1_15_2	Avviso sull'esistenza di un sistema di qualificazione con indizione di procedura di scelta del contraente. Articolo 68 della direttiva 2014/25/UE; Articolo 92, paragrafo 1, lettera c), della direttiva 2014/25/UE; Articolo 155 comma 3 lettera b) decreto legislativo 36/2023; Articolo 162 comma 2 decreto legislativo 36/2023; Articolo 164 decreto legislativo 36/2023.
P1_16	Bando di gara — direttiva generale, regime ordinario. Articolo 49 della direttiva 2014/24/UE; Articolo 84 decreto legislativo 36/2023; Articolo 85 decreto legislativo 36/2023.
P1_17	Bando di gara — direttiva settoriale, regime ordinario. Articolo 69 della direttiva 2014/25/UE ; Articolo 155 comma 3 lettera c) decreto legislativo 36/2023; Articolo 163 decreto legislativo 36/2023; Articolo 164 decreto legislativo 36/2023
P1_18	Bando di gara — direttiva per il settore della difesa, regime ordinario. Articolo 30, paragrafo 2, della direttiva 2009/81/CE; Articolo 22 decreto legislativo 208/2011; Articolo 84 decreto legislativo 36/2023; Articolo 85 decreto legislativo 36/2023.
P1_19	Bando di concessione - direttiva sulle concessioni, regime ordinario, PPP. Articolo 31, paragrafo 1, della direttiva 2014/23/UE; Articolo 182 comma 11 primo periodo e comma 12 decreto legislativo 36/2023.
P1_20	Bando di gara — direttiva generale, regime alleggerito. Articolo 75, paragrafo 1, lettera a), della direttiva 2014/24/UE; Articolo 127 comma 1 lettera a) decreto legislativo 36/2023.
P1_21	Avviso di gara — direttiva settoriale, regime alleggerito. Articolo 92, paragrafo 1, lettera a),della direttiva 2014/25/UE; Articolo 173 decreto legislativo 36/2023; Articolo 127 comma 4 deceto legislativo 36/2023.
P1_23	Avviso o bando di concorso di progettazione — direttiva generale, progettazione. Articolo 79, paragrafo 1, della direttiva 2014/24/UE; Articolo 46 decreto legislativo 36/2023.
P1_24	Avviso di concorso di progettazione — direttiva settoriale, progettazione. Articolo 96, paragrafo 1, primo comma, della direttiva 2014/25/UE; Articolo 46 decreto legislativo 36/2023.
P2_10	Avviso di preinformazione utilizzato come avviso di indizione di gara — settori ordinari. Articolo 50, decreto legislativo 36/2023; Articolo 81 comma 2 decreto legislativo 36/2023.
P2_11	Avviso periodico indicativo utilizzato come avviso di indizione di gara — settori speciali. Articolo 50 decreto legislativo 36/2023; Articolo 50 comma 5 decreto legislativo 36/2023.
P2_12	Avviso di preinformazione utilizzato come avviso di indizione di gara — settori ordinari, regime alleggerito. Articolo 50 decreto legislativo 36/2023; Articolo 127 decreto legislativo 36/2023; Articolo 128 comma 8 decreto legislativo 36/2023.
